"Source:","C:\Users\user\Documents\KiCad\7.0\projects\coincall\coincall.kicad_sch"
"Date:","2023-11-13 오후 11:40:07"
"Tool:","Eeschema 7.0.9"
"Generator:","D:\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","3"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"BT1","1","3.7V","Battery_Cell","Battery:Battery_Panasonic_CR2032-VS1N_Vertical_CircularHoles","Single-cell battery","",""
"D1","1","RED","LED","Diode_SMD:D_0603_1608Metric","Light emitting diode","",""
"R1","1","1K","R_US","Resistor_SMD:R_0603_1608Metric","Resistor, US symbol","",""
